Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Miscellaneous,Obesity,Undernourished
Saudi Arabia,0,32.4576,22.5827,1.1194,1.7362,31.1839,6.3967,0,4.5234,0.1371,0,0.4284,0.2741,1.8276,0.4112,0.3141,0.4512,0.2799,0.0057,0.3941,35,7.1
Senegal,0.0247,15.094,31.8542,0.3877,4.19,41.059,1.0805,0,6.3098,0.0165,0,0.7011,2.3095,2.095,0.1567,0.6186,0.2062,0.1485,0.0165,0.0412,7.4,11.3
Serbia,0.4242,35.1555,19.2473,1.6847,1.1272,28.3741,9.4722,0.0061,4.5088,0.0545,0,1.006,0.5394,0.9878,0.0667,0.9999,0.5697,0.2242,0.0364,0.0242,23.5,5.7
Sierra Leone,0.0359,14.6193,24.7486,0.3592,6.5733,40.2478,1.9037,0,11.5123,0,0,0.3951,2.3527,5.0916,0.1976,2.9813,0.1437,0.2335,0.009,0.1078,7.5,25.6
Slovakia,0.7973,43.2865,12.8688,3.0856,2.1049,22.7317,8.2842,0.0159,6.8249,0.9807,0,1.1162,0.9727,0.6697,0.1515,1.7621,0.6618,0.3189,0.0558,0.1355,22.4,3.4
Slovenia,0.5488,40.2866,15.5089,1.5092,1.6515,24.9809,9.9853,0.0051,5.5236,0.6606,0,0.8842,0.4624,0.6301,0.1779,1.1179,0.8689,0.498,0.0356,0.188,22.5,<2.5
Solomon Islands,0.1398,18.7197,15.0205,0.3168,9.1129,36.2468,1.0622,0,19.3813,0.0839,0.0186,0.2423,1.9847,5.4603,0.1398,10.9672,0.1677,0.0839,0,0.2329,20.5,8.9
South Africa,0.4676,34.6322,24.8966,1.2409,0.9712,30.3099,2.9615,0,4.5202,0.006,0,1.6246,1.157,0.6235,0.1319,0.7793,0.1679,0.03,0,0,27,6.2
Spain,0.4855,46.333,11.2506,2.012,5.7607,21.7591,7.2732,0.0047,5.1211,0.0607,0,0.6769,0.6022,1.3631,0.0187,1.1157,0.6396,0.6302,0.014,0,27.1,<2.5
Sri Lanka,0.0699,16.9812,23.7396,1.0176,7.4963,37.5127,3.2083,0,9.9743,0,0,0.3884,2.4703,4.4589,1.3284,0.4816,0.6448,0.1631,0,0.0388,5.4,9
Sudan,0,21.5053,23.8327,0.2578,0.2283,37.3251,8.2192,0.0295,8.6022,0.0147,0,0.9059,1.7823,5.0302,0.0884,0.5082,0.2504,0,0,0.0221,7.4,20.1
Suriname,0.2987,31.7903,20.7234,1.4186,3.924,33.2504,3.559,0.0166,5.0192,0.0166,0,0.2821,1.7007,1.0204,0.0747,0.8794,0.3484,0.0581,0.0249,0.6139,26.5,8.5
