Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Obesity,Undernourished
Lesotho,0.767,6.0048,34.6044,0.0657,0.0877,47.1401,0.9424,2.7175,7.6704,0.0877,0,0.0877,0.2192,0.1753,1.819,0.1753,2.3011,0.0438,0,2.7613,13.5,13.1
Liberia,0.7505,4.878,25.2814,0.0938,0.258,49.3433,0.1407,1.6417,17.6126,0.0938,0,0.0938,0.1173,0.5394,0.1642,0,8.0675,0.0469,0.1173,8.3724,8.6,37.2
Lithuania,3.3192,21.2166,15.7187,0.8481,0.9651,36.7159,5.0592,6.1705,9.9869,2.6612,0,0.0439,0.1316,0.3071,1.2867,0.1608,1.3306,0.234,0.3217,3.5093,28.4,<2.5
Luxembourg,5.1574,25.3673,11.979,0.9595,0.8246,35.967,5.1574,4.048,10.5398,2.3988,0,0.2849,0.1049,0.2999,0.1049,0.1649,1.2294,2.009,0.075,3.8681,24.2,<2.5
Madagascar,0.289,5.3337,31.2401,0.0525,0.2627,48.2396,1.051,2.3121,11.2192,0.1839,0,0.0263,0.1314,0.2102,0.762,0.0788,7.9874,0.0788,0.0263,1.7341,4.5,44.4
Malawi,0.3588,6.9122,23.3428,0.0755,0.3399,49.6507,0.1322,1.5297,17.6583,0.4344,0,0.0189,0.1322,1.3598,2.8706,0.0378,11.4259,0.0189,0.0378,1.322,4.7,17.5
Malaysia,0.2063,12.8739,21.5194,1.2204,1.7532,43.2279,1.2375,7.0299,10.9317,0.4297,0,0.2922,0.0344,0.636,0.4469,0.7219,0.6875,0.0172,0.1375,7.5284,15.3,2.5
Maldives,0.3552,14.0098,22.5577,0.9991,4.4183,41.563,3.8854,5.4174,6.794,0.9325,0,0.8215,0,0.3552,0.1776,0.6883,0.8215,0.6439,1.421,0.9325,7.9,10.3
Mali,0.6497,7.4885,32.9116,0.0342,0.2394,46.1959,3.2997,1.7781,7.4029,0.2223,0,0.0513,0.171,0.8548,1.59,0.1197,1.4532,0.0171,0.359,2.5645,7.1,6.3
Malta,1.9506,19.4914,15.8937,0.6791,0.9392,39.4162,5.2016,7.5278,8.9005,2.0373,0,0.0867,0.0578,0.578,0.5202,0.0722,1.127,1.127,0.4479,2.8464,31,<2.5
Mauritania,0,9.5708,26.6186,0.1583,0.3343,43.772,4.0816,6.3512,9.1133,0.4046,0,0.1407,0.2111,0.1759,1.6538,0,0.3343,0.1056,0,6.0873,11.3,10.4
Mauritius,0.8473,10.5675,23.1974,0.3517,0.8153,44.4925,2.462,4.6203,12.6459,0.4157,0,0.3038,0.0639,0.5755,1.4069,0.2878,0.6235,0.3997,0.0959,8.4732,11.5,6.5
Mexico,1.196,15.3174,21.5118,1.0733,0.4293,42.2263,2.5912,6.9917,8.663,0.9046,0,0,0.2453,0.4446,1.5486,0.23,0.506,0.0767,0.23,4.4772,28.4,3.6
Mongolia,1.5398,30.9428,18.7724,0.3375,0.0211,30.7108,6.6231,2.9319,8.1207,2.0038,0,0.1898,0.8015,0.0633,0.0844,0,1.2234,0.7804,0.0422,2.9319,19.6,13.4
Montenegro,1.4078,24.5942,16.1184,0.6608,0.3591,35.8138,8.1023,4.7694,8.1741,1.3935,0,0.3448,0.1437,0.2729,0.6177,0.0431,0.7039,1.2355,0.3591,3.0599,24.9,<2.5
Morocco,0.0888,6.9527,29.4675,0.3402,0.6213,48.2692,1.0651,5.4142,7.781,0.6361,0,0.0148,0.1183,0.1479,0.6509,0.2219,1.4053,0.0888,0.429,4.068,25.6,3.4
Mozambique,0.3688,4.296,21.957,0.1519,0.4556,48.4053,0.6943,2.148,21.5232,0.1736,0,0.0434,0.0651,0.2821,2.6036,0,14.1679,0.0434,0.1736,3.9705,6,27.9
Myanmar,0.1296,17.2343,23.4358,0.3887,2.0548,41.7068,1.1107,3.5542,10.3851,0.8145,0,0.0926,0.1481,1.7771,2.6287,0.3702,0.722,0.074,0.4258,3.3321,5.7,10.6
Namibia,2.4054,9.375,18.7294,0.1028,0.4523,45.0453,2.1998,5.7155,15.9745,0.7607,0,0.2056,0.1645,0.2673,1.6036,0.2673,7.2368,0.2056,0.0411,5.222,15,27.3
Nepal,0.1395,4.639,30.7115,0.1395,0.0872,49.1978,1.9358,1.4999,11.6497,0.6278,0,0.0174,0.1046,0.1221,1.9881,0.9069,2.7206,0.0698,0.1744,4.918,3.8,8.7
Netherlands,2.2164,22.2718,11.4822,0.8465,0.7234,37.4327,6.7877,6.5877,11.6515,2.3549,0,0,0.0616,0.1847,0.2309,0.1693,2.2626,0.1231,0.6772,5.5872,23.1,<2.5
New Caledonia,1.9087,19.8691,15.9607,0.6362,0.8544,39.3565,3.7448,4.272,13.3975,1.4361,0,1.1089,0.1272,1.7633,0.2545,0.0909,1.2543,0.7635,0.1272,6.4716,NA,7.1
